메뉴명,조리방법,요리종류,중량(1인분),열량,탄수화물,단백질,지방,나트륨,해쉬태그,이미지경로(소),이미지경로(대),재료정보,레시피
새우 두부 계란찜,찌기,반찬,,220,3,14,17,99,연두부,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_1.png,"칵테일새우, 새우두부계란찜, 설탕, 시금치, 고명, 무염버터, 생크림, 연두부, 달걀","1. 손질된 새우를 끓는 물에 데쳐 건진다.
2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.
3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.          "
부추 콩가루 찜,찌기,반찬,,215,20,14,9,240,날콩가루,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00029_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00029_1.png,"양념장, 날콩가루, 요리당, 참기름, 다진 대파, 다진 마늘, 저염간장, 조선부추, 참깨 약간, 고춧가루","1. 부추는 깨끗이 씻어 물기를 제거하고, 5cm 길이로 썰고 부추에 날콩가루를 넣고 고루 섞이도록 버무린다. 
2. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 파랗게 익힌다. 
3. 저염간장에 다진 대파, 다진 마늘, 고춧가루, 요리당 , 참기름, 참깨를 섞어 양념장을 만들고 찐 부추는 그릇에 담아낸다.                 "
방울토마토 소박이,기타,반찬,,45,9,2,1,277,방울토마토,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00031_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00031_1.png,"멸치액젓, 설탕, 다진 마늘, 통깨 약간, 양념장, 물, 방울토마토, 양파, 매실액, 부추, 고춧가루","1. 물기를 빼고 2cm 정도의 크기로 썰은 부추와 양파를 양념장에 섞어 양념속을 만든다. 
2. 깨끗이 씻은 방울토마토는 꼭지를 떼고 윗부분에 칼로 십자모양으로 칼집을 낸다. 
3. 칼집을 낸 방울토마토에 양념속을 사이사이에 넣어 버무린다.                 "
순두부 사과 소스 오이무침,기타,반찬,,75,10,4,2,22,순두부,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00032_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00032_2.png,"순두부, 다진 땅콩, 오이, 오이무침, 사과, 순두부사과 소스","1. 사과, 순두부를 믹서에 넣고 곱게 갈아 소스를 만든다. 
2. 오이는 소금으로 문질러 씻어 반을 갈라 씨를 제거하고 어슷썰기를 한다. 
3. 썰어 놓은 오이에 순두부사과 소스를 넣고 버무린 후 다진 땅콩을 뿌려 마무리 한다.                 "
사과 새우 북엇국,끓이기,국&찌개,,65,2,12,1,78,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00033_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00033_1.png,"표고버섯, 북어채, 새우, 사과, 북엇국, 물, 양파","1. 북어채를 잘게 손으로 찢어 찬물에 헹구어 준비한 후 양파, 표고버섯, 사과는 채 썰고 새우는 등쪽의 두세 마디에 꼬챙이를 넣어 내장을 뺀 후 헹군다.  
2. 찬물에 북어채, 새우, 표고버섯, 양파를 넣고 20분 정도 끓인 후 사과를 넣어 북어의 씁쓸한 맛을 없앤다.   
3. 그릇에 담아낸다."
저염 된장으로 맛을 낸 황태해장국,끓이기,국&찌개,,100,12,13,0,361,저염된장,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00036_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00036_1.png,"청양고추, 콩나물, 황태해장국, 무, 황태, 물, 다진 마늘, 저염된장","1. 황태는 손질하여 물에 헹궈 건져 놓고 콩나물은 다듬어 씻고 청양고추는 어슷썰기 한다.  
2. 냄비에 물을 붓고 황태와 무를 넣고 끓인 후 육수에서 물을 건져내고 저염 된장을 푼다.  
3. 콩나물, 다진 마늘, 청양고추를 넣고 뚜껑을 덮어 김이 나게 끓
여준다."
된장국,끓이기,국&찌개,,20,3,2,0,260,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00037_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00037_1.png,"두부, 감자, 대파, 물, 된장, 애느타리버섯, 양파","1. 감자, 양파는 얇게 썰고 애느타리 버섯은 썰어 달궈진 팬에 굽는다. 
2. 냄비에 물을 붓고 된장을 푼 뒤 감자, 양파, 두부를 넣어 재료가 투명해지게 끓인 후 된장국의 재료를 건져서 믹서에 넣어 갈고 된장국에 넣어 한번 더 끓인다. 
3. 구운 애느타리버섯과 대파를 국에 넣어 끓인 후 그릇에 담는다.                 "
표고버섯 청경채국,끓이기,국&찌개,,45,7,2,1,2441,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00038_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00038_1.png,"멸치육수, 표고버섯, 다시마 장, 표고버섯 기둥, 국간장, 국물용 멸치, 물, 청경채, 다진 마늘, 채소준비, 양파","1. 찬물에 표고버섯,머리와 내장을 제거한 멸치,
다시마, 양파를 넣어 중간 불에서 10분 정도
끓여 멸치육수를 만든다. 
2. 육수의 표고버섯 기둥, 멸치, 다시마, 양파를 건진 후 표고버섯은 편으로 썰고 청경채는 4cm 크기로 썬다. 
3. 끓는 육수에 준비한 표고버섯과 청경채를 넣고 국간장으로 간을 한 후 마늘을 넣어 한소끔 끓인다.                 "
치커리샐러드와 올리브 마늘 소스,기타,반찬,,170,13,3,12,74,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00095_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00095_1.png,"올리브유, 치커리, 설탕, 적양배추, 당근, 올리브마늘 드레싱, 마늘, 치커리 샐러드, 식초, 양파","1. 올리브유, 식초, 설탕, 다진 마늘을 섞어 거품기로 충분히 저어주어 올리브마늘 드레싱을 만든다. 
2. 치커리는 싱싱하게 찬물에 담갔다가 물기를 뺀 후 한입 크기로 자르고, 적양배추, 양파, 당근은 곱게채를 썬다. 
3. 접시에 준비한 치커리, 적양배추, 양파, 당근을 담고 올리브마늘 드레싱을 뿌린다.                 "
스트로베리 샐러드,기타,반찬,,195,30,7,5,138,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00087_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00087_1.png,"블루베리, 식초 약간, 양상추, 딸기, 소금 약간, 메추리알, 플레인요거트","1. 찬물이 담긴 냄비에 식초, 소금을 넣고 메추리알을 삶는다. 물이 끓어오르면 5분 정도 더 삶아 찬물에 헹군 후 껍질을 벗기고 반으로 자른다. 
2. 딸기를 흐르는 물에 가볍게 씻어 꼭지를 제거한 후 물기를 빼고 반으로 자른다. 
3. 양상추는 찬물에 담갔다가 물기를 빼고 한입 크기로 찢은 후 접시에 양상추, 딸기, 블루베리, 메추리알을 담고 플레인요거트를 끼얹는다.                 "
시금치 우유 소스와 그린매쉬드포테이토,찌기,반찬,,155,32,5,1,24,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_1.png,"치커리 약간, 설탕, 크랜베리, 시금치, 시금치우유 소스, 감자, 우유, 아몬드, 그린매쉬드포테이토","1. 시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜고 우유를 넣고 블렌더에 곱게 갈아 체에 거른다. 
2. 껍질 벗긴 감자는 찜기에 넣어 20분 정도 삶고 꺼내서 으깨고, 아몬드는 잘게 다지며, 치커리는 곱게 다진다. 
3. 으깬 감자, 다진 치커리, 시금치 우유소스, 설탕을 넣고 섞어 접시에 담고 아몬드, 크랜베리를 올리고 시금치우유 소스를 곁들인다.                 "
버섯구이와 두부타르타르 소스,굽기,반찬,,150,18,8,5,133,연두부,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00091_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00091_1.png,"올리브유, 곁들임, 치커리, 다진 양파, 머스터드, 두부타르타르 소스, 흰 후추 약간, 새송이버섯, 꿀, 다진 오이피클, 레몬즙, 버섯구이, 연두부, 식초","1. 곱게 다진 양파와 오이피클은 물기를 짠다. 
2. 연두부에 다진 양파, 다진 오이피클, 올리브유, 머스터드, 후추, 꿀, 식초, 레몬즙을 넣어 두부타르타르 소스를 만든다. 
3. 새송이버섯은 
0.5cm 두께로 썰고 프라이팬에 노릇하게 구워준 후 접시에 새송이버섯과 치커리를 담고 소스를 곁들인다.                 "
구운채소와 간장레몬 소스,굽기,반찬,,175,19,4,9,38,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00093_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00093_1.png,"올리브유 약간, 설탕, 구운채소, 간장 레몬 소스, 새송이버섯, 가지, 레몬즙, 호박, 빨강 파프리카, 청피망, 노랑 파프리카, 발사믹크레마, 저염간장, 식초, 양파","1. 저염간장, 식초, 레몬즙, 설탕을 혼합하여 간장레몬 소스를 만든다. 
2. 호박, 가지, 새송이버섯은 3cm 길이로 자른 후 얇은 편으로 채 썰고, 양파, 파프리카, 피망은 호박 길이로 썬다. 
3. 가지, 호박, 새송이버섯, 양파, 파프리카, 피망에 올리브유를 바르고 달궈진 그릴 팬에 구운 후 접시에 담고 발사믹 크레타를 뿌리고 간장레몬 소스를 곁들인다.                 "
